TEST	ETHN	JPERF
0.28000000000000003	1	1.8300000000000001
0.96999999999999997	1	4.5899999999999999
1.25	1	2.9700000000000002
2.46	1	8.1400000000000006
2.5099999999999998	1	8.0
1.1699999999999999	1	3.2999999999999998
1.78	1	7.5300000000000002
1.21	1	2.0299999999999998
1.6299999999999999	1	5.0
1.98	1	8.0399999999999991
2.3599999999999999	0	3.25
2.1099999999999999	0	5.2999999999999998
0.45000000000000001	0	1.3899999999999999
1.76	0	4.6900000000000004
2.0899999999999999	0	6.5599999999999996
1.5	0	3.0
1.25	0	5.8499999999999996
0.71999999999999997	0	1.8999999999999999
0.41999999999999998	0	3.8500000000000001
1.53	0	2.9500000000000002
